#{"t_start": 1755881615.00653, "env_id": "None"}
r,l,t
-0.066978715,182,3.153053
-0.066978715,182,3.2367750.054270238,856,4.253418
0.18522839,856,5.494571
0.3717066,856,7.041554
0.3981895,856,8.101434
0.23240598,856,9.134924
0.13225523,856,10.60186
0.5271324,856,12.311508
0.39681447,856,14.919117
0.20208369,856,16.451854
0.28940904,856,18.719397
0.38953072,856,20.308331
0.34346431,856,21.984141
0.42243326,856,24.182035
0.28138232,856,26.142789
0.49770477,856,28.875158
0.31270975,856,30.601017
0.17553625,856,32.896845
0.24334009,856,34.735435
0.27159193,856,36.576251
0.5917543,856,39.11956
0.21651883,856,40.801918
846539
0.025188494,182,17.960613
0.025188494,182,18.074011
0.025188494,182,18.186943
0.014135429,182,22.142794
0.014135429,182,22.259632
0.014135429,182,22.37295
0.014135429,182,22.485871
0.014135429,182,22.59875
0.061953716,182,27.038162
0.061953716,182,27.165299
0.061953716,182,27.284866
0.061953716,182,27.405052
0.061953716,182,27.525345
-0.012621829,182,31.941382
-0.012621829,182,32.055585
-0.012621829,182,32.168748
-0.012621829,182,32.282222
-0.012621829,182,32.395674
-0.055126194,182,36.749892
-0.055126194,182,36.877771
-0.055126194,182,36.988975
-0.055126194,182,37.102613
-0.055126194,182,37.214008
0.026194807,182,41.469298
0.026194807,182,41.596885
0.026194807,182,41.707778
0.026194807,182,41.82005
0.026194807,182,41.938002
