#{"t_start": 1755881451.3430977, "env_id": "None"}
r,l,t
-0.007624,182,3.814541
-0.007624,182,3.9069570.010768,856,6.54805
0.625732,856,7.232804
0.32127,856,10.281797
1.004536,856,10.897245
0.878035,856,11.462982
2.04569,856,14.500666
2.347428,856,15.519268
2.155921,856,20.431258
3.096376,856,21.438264
2.406696,856,26.116146
3.705044,856,27.161019
2.910931,856,28.160922
3.504182,856,32.833711
3.801122,856,33.846333
4.242626,856,38.558115
4.492293,856,39.550833
3.903354,856,41.367973
4.599624,856,45.331148
4.242858,856,46.326211
4.584608,856,51.038787
4.712378,856,52.046784
0.926987,182,22.76241
0.926987,182,22.919549
1.143347,182,28.334446
1.143347,182,28.489954
1.143347,182,28.646426
1.143347,182,28.80425
1.143347,182,28.962333
1.314181,182,34.35499
1.314181,182,34.508092
1.314181,182,34.663096
1.314181,182,34.816922
1.314181,182,34.970357
1.372417,182,40.404333
1.372417,182,40.561152
1.372417,182,40.718377
1.372417,182,40.873719
1.372417,182,41.027476
1.423543,182,46.507481
1.423543,182,46.662544
1.423543,182,46.816982
1.423543,182,46.97274
1.423543,182,47.126862
1.464301,182,52.569294
1.464301,182,52.733263
1.464301,182,52.891126
1.464301,182,53.044752
1.464301,182,53.200671
